timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,message_type,mmsi,call_sign,imo_number,speed__knots_,heading__deg_,course_over_ground__deg_,rate_of_turn,ship_type,destination,naviagation_status,dimension_bow,dimension_stern,dimension_port,dimension_starboard,draft,source_type,received_by_EDC,received_by_receiver,receiver,signal_strength,signal_noise_ratio,latitude,longitude,geometry
2024-01-14 21:29:47+00:00,,,clampToGround,-1,0,1,,,1,368133920,WDL4693,0,0,12,331,0,Reserved (Local Use),USBUS>USBEP,Reserved for future use,197,22,17,16,3.4,0,2024-01-14T21:29:47Z,,,-96,21,38.618235,-82.858867,POINT Z (-82.858867 38.618235 0)
2024-01-14 21:29:58+00:00,,,clampToGround,-1,0,1,,,1,368133920,WDL4693,0,0,12,332,0,Reserved (Local Use),USBUS>USBEP,Reserved for future use,197,22,17,16,3.4,0,2024-01-14T21:29:58Z,,,-91,27,38.618266,-82.858887,POINT Z (-82.858887 38.618266 0)
2024-01-14 21:30:07+00:00,,,clampToGround,-1,0,1,,,1,368133920,WDL4693,0,0,12,332,0,Reserved (Local Use),USBUS>USBEP,Reserved for future use,197,22,17,16,3.4,0,2024-01-14T21:30:07Z,,,-91,26,38.618293,-82.858904,POINT Z (-82.858904 38.618293 0)
2024-01-14 21:30:17+00:00,,,clampToGround,-1,0,1,,,1,368133920,WDL4693,0,0,12,330,0,Reserved (Local Use),USBUS>USBEP,Reserved for future use,197,22,17,16,3.4,0,2024-01-14T21:30:17Z,,,-95,23,38.618323,-82.858924,POINT Z (-82.858924 38.618323 0)
2024-01-14 21:30:37+00:00,,,clampToGround,-1,0,1,,,1,368133920,WDL4693,0,0,12,328,0,Reserved (Local Use),USBUS>USBEP,Reserved for future use,197,22,17,16,3.4,0,2024-01-14T21:30:37Z,,,-91,27,38.618385,-82.858972,POINT Z (-82.858972 38.618385 0)
2024-01-14 21:30:47+00:00,,,clampToGround,-1,0,1,,,1,368133920,WDL4693,0,0,13,328,0,Reserved (Local Use),USBUS>USBEP,Reserved for future use,197,22,17,16,3.4,0,2024-01-14T21:30:47Z,,,-93,24,38.618416,-82.858997,POINT Z (-82.858997 38.618416 0)
2024-01-14 21:30:58+00:00,,,clampToGround,-1,0,1,,,1,368133920,WDL4693,0,0,13,330,0,Reserved (Local Use),USBUS>USBEP,Reserved for future use,197,22,17,16,3.4,0,2024-01-14T21:30:58Z,,,-94,24,38.618456,-82.859025,POINT Z (-82.859025 38.618456 0)
2024-01-14 21:31:07+00:00,,,clampToGround,-1,0,1,,,1,368133920,WDL4693,0,0,12,337,0,Reserved (Local Use),USBUS>USBEP,Reserved for future use,197,22,17,16,3.4,0,2024-01-14T21:31:07Z,,,-90,27,38.618488,-82.859044,POINT Z (-82.859044 38.618488 0)
2024-01-14 21:31:17+00:00,,,clampToGround,-1,0,1,,,1,368133920,WDL4693,0,0,12,338,0,Reserved (Local Use),USBUS>USBEP,Reserved for future use,197,22,17,16,3.4,0,2024-01-14T21:31:17Z,,,-92,26,38.618521,-82.859062,POINT Z (-82.859062 38.618521 0)
2024-01-14 21:31:28+00:00,,,clampToGround,-1,0,1,,,1,368133920,WDL4693,0,0,12,339,0,Reserved (Local Use),USBUS>USBEP,Reserved for future use,197,22,17,16,3.4,0,2024-01-14T21:31:28Z,,,-91,26,38.618563,-82.85908,POINT Z (-82.85908 38.618563 0)
2024-01-14 21:31:37+00:00,,,clampToGround,-1,0,1,,,1,368133920,WDL4693,0,0,12,337,0,Reserved (Local Use),USBUS>USBEP,Reserved for future use,197,22,17,16,3.4,0,2024-01-14T21:31:37Z,,,-93,25,38.618596,-82.859099,POINT Z (-82.859099 38.618596 0)
